image_name,predicted_count,actual_count,difference
dipika hindi_page-0047.jpg,42,,
dipika hindi_page-0047.jpg,42,,
Hindi Book exercise_page-0001.jpg,21,,
Hindi Book exercise_page-0001.jpg,21,,
Hindi Book exercise_page-0002.jpg,14,,
Hindi Book exercise_page-0002.jpg,14,,
Hindi Book exercise_page-0003.jpg,11,,
Hindi Book exercise_page-0003.jpg,11,,
Hindi Book exercise_page-0004.jpg,22,,
Hindi Book exercise_page-0004.jpg,22,,
Hindi Book exercise_page-0005.jpg,16,,
Hindi Book exercise_page-0005.jpg,16,,
Hindi Book exercise_page-0006.jpg,9,,
Hindi Book exercise_page-0006.jpg,9,,
Hindi Book exercise_page-0007.jpg,13,,
Hindi Book exercise_page-0007.jpg,13,,
Hindi Book exercise_page-0008.jpg,26,,
Hindi Book exercise_page-0008.jpg,26,,
Hindi Book exercise_page-0009.jpg,26,,
Hindi Book exercise_page-0009.jpg,26,,
Hindi Book exercise_page-0010.jpg,15,,
Hindi Book exercise_page-0010.jpg,15,,
Hindi Book exercise_page-0011.jpg,41,,
Hindi Book exercise_page-0011.jpg,41,,
Hindi Book exercise_page-0012.jpg,37,,
Hindi Book exercise_page-0012.jpg,37,,
Hindi Book exercise_page-0013.jpg,12,,
Hindi Book exercise_page-0013.jpg,12,,
Hindi Book exercise_page-0014.jpg,16,,
Hindi Book exercise_page-0014.jpg,16,,
Hindi Book exercise_page-0015.jpg,16,,
Hindi Book exercise_page-0015.jpg,16,,
Hindi Book exercise_page-0016.jpg,13,,
Hindi Book exercise_page-0016.jpg,13,,
Hindi Book exercise_page-0017.jpg,2,,
Hindi Book exercise_page-0017.jpg,2,,
hindi total work_page-0001.jpg,81,,
hindi total work_page-0001.jpg,81,,
hindi total work_page-0002.jpg,56,,
hindi total work_page-0002.jpg,56,,
hindi total work_page-0003.jpg,155,,
hindi total work_page-0003.jpg,155,,
hindi total work_page-0004.jpg,74,,
hindi total work_page-0004.jpg,74,,
hindi total work_page-0005.jpg,93,,
hindi total work_page-0005.jpg,93,,
hindi total work_page-0006.jpg,57,,
hindi total work_page-0006.jpg,57,,
hindi total work_page-0007.jpg,64,,
hindi total work_page-0007.jpg,64,,
hindi total work_page-0008.jpg,22,,
hindi total work_page-0008.jpg,22,,
hindi total work_page-0009.jpg,54,,
hindi total work_page-0009.jpg,54,,
hindi total work_page-0010.jpg,68,,
hindi total work_page-0010.jpg,68,,
hindi total work_page-0011.jpg,105,,
hindi total work_page-0011.jpg,105,,
hindi total work_page-0012.jpg,39,,
hindi total work_page-0012.jpg,39,,
hindi total work_page-0013.jpg,60,,
hindi total work_page-0013.jpg,60,,
hindi total work_page-0014.jpg,58,,
hindi total work_page-0014.jpg,58,,
hindi total work_page-0015.jpg,21,,
hindi total work_page-0015.jpg,21,,
hindi total work_page-0016.jpg,20,,
hindi total work_page-0016.jpg,20,,
hindi total work_page-0017.jpg,107,,
hindi total work_page-0017.jpg,107,,
hindi total work_page-0018.jpg,89,,
hindi total work_page-0018.jpg,89,,
hindi total work_page-0019.jpg,20,,
hindi total work_page-0019.jpg,20,,
hindi total work_page-0020.jpg,69,,
hindi total work_page-0020.jpg,69,,
hindi total work_page-0021.jpg,41,,
hindi total work_page-0021.jpg,41,,
hindi total work_page-0022.jpg,99,,
hindi total work_page-0022.jpg,99,,
hindi total work_page-0023.jpg,69,,
hindi total work_page-0023.jpg,69,,
hindi total work_page-0024.jpg,111,,
hindi total work_page-0024.jpg,111,,
hindi total work_page-0025.jpg,27,,
hindi total work_page-0025.jpg,27,,
hindi total work_page-0026.jpg,11,,
hindi total work_page-0026.jpg,11,,
hindi total work_page-0027.jpg,13,,
hindi total work_page-0027.jpg,13,,
hindi total work_page-0028.jpg,18,,
hindi total work_page-0028.jpg,18,,
hindi total work_page-0029.jpg,17,,
hindi total work_page-0029.jpg,17,,
hindi total work_page-0030.jpg,9,,
hindi total work_page-0030.jpg,9,,
hindi total work_page-0031.jpg,17,,
hindi total work_page-0031.jpg,17,,
hindi total work_page-0032.jpg,30,,
hindi total work_page-0032.jpg,30,,
hindi total work_page-0033.jpg,6,,
hindi total work_page-0033.jpg,6,,
hindi total work_page-0034.jpg,22,,
hindi total work_page-0034.jpg,22,,
hindi total work_page-0035.jpg,22,,
hindi total work_page-0035.jpg,22,,
hindi total work_page-0036.jpg,48,,
hindi total work_page-0036.jpg,48,,
hindi total work_page-0037.jpg,31,,
hindi total work_page-0037.jpg,31,,
hindi total work_page-0038.jpg,11,,
hindi total work_page-0038.jpg,11,,
hindi total work_page-0039.jpg,10,,
hindi total work_page-0039.jpg,10,,
hindi total work_page-0040.jpg,39,,
hindi total work_page-0040.jpg,39,,
hindi total work_page-0041.jpg,34,,
hindi total work_page-0041.jpg,34,,
hindi total work_page-0042.jpg,39,,
hindi total work_page-0042.jpg,39,,
hindi total work_page-0043.jpg,7,,
hindi total work_page-0043.jpg,7,,
hindi total work_page-0044.jpg,34,,
hindi total work_page-0044.jpg,34,,
hindi total work_page-0045.jpg,7,,
hindi total work_page-0045.jpg,7,,
hindi total work_page-0046.jpg,40,,
hindi total work_page-0046.jpg,40,,
Hindi work done by rudransh_page-0001.jpg,64,,
Hindi work done by rudransh_page-0001.jpg,64,,
Hindi work done by rudransh_page-0002.jpg,59,,
Hindi work done by rudransh_page-0002.jpg,59,,
Hindi work done by rudransh_page-0003.jpg,84,,
Hindi work done by rudransh_page-0003.jpg,84,,
Hindi work done by rudransh_page-0004.jpg,64,,
Hindi work done by rudransh_page-0004.jpg,64,,
Hindi work done by rudransh_page-0005.jpg,127,,
Hindi work done by rudransh_page-0005.jpg,127,,
Hindi work done by rudransh_page-0006.jpg,53,,
Hindi work done by rudransh_page-0006.jpg,53,,
Hindi work done by rudransh_page-0007.jpg,65,,
Hindi work done by rudransh_page-0007.jpg,65,,
Hindi work done by rudransh_page-0008.jpg,44,,
Hindi work done by rudransh_page-0008.jpg,44,,
Hindi work done by rudransh_page-0009.jpg,56,,
Hindi work done by rudransh_page-0009.jpg,56,,
Hindi work done by rudransh_page-0010.jpg,44,,
Hindi work done by rudransh_page-0010.jpg,44,,
Hindi work done by rudransh_page-0011.jpg,39,,
Hindi work done by rudransh_page-0011.jpg,39,,
Hindi work done by rudransh_page-0012.jpg,56,,
