filename,abs_angle,augmented,actual_words,detected_words,error
page4_angle_25_aug1.jpg,25,Yes,125,128,3
page5_angle_-25.jpg,25,No,122,117,5
page5_angle_-25_aug1.jpg,25,Yes,122,118,4
page5_angle_25.jpg,25,No,122,114,8
page5_angle_25_aug1.jpg,25,Yes,122,115,7
page5_angle_25_aug2.jpg,25,Yes,122,128,6
page6_angle_-25.jpg,25,No,126,129,3
page6_angle_-25_aug2.jpg,25,Yes,126,138,12
page6_angle_-25_aug3.jpg,25,Yes,126,125,1
page6_angle_25.jpg,25,No,126,129,3
page6_angle_25_aug1.jpg,25,Yes,126,126,0
page6_angle_25_aug3.jpg,25,Yes,126,127,1
page7_angle_-25.jpg,25,No,122,107,15
page7_angle_-25_aug3.jpg,25,Yes,122,105,17
page7_angle_25.jpg,25,No,122,109,13
page7_angle_25_aug2.jpg,25,Yes,122,108,14
page7_angle_25_aug3.jpg,25,Yes,122,135,13
page8_angle_-25.jpg,25,No,121,116,5
page8_angle_25.jpg,25,No,121,115,6
page8_angle_25_aug2.jpg,25,Yes,121,116,5
page8_angle_25_aug3.jpg,25,Yes,121,116,5
page9_angle_-25.jpg,25,No,121,107,14
page9_angle_-25_aug1.jpg,25,Yes,121,110,11
page9_angle_-25_aug2.jpg,25,Yes,121,114,7
page9_angle_-25_aug3.jpg,25,Yes,121,111,10
page9_angle_25.jpg,25,No,121,106,15
page9_angle_25_aug1.jpg,25,Yes,121,114,7
page9_angle_25_aug3.jpg,25,Yes,121,113,8
page10_angle_-30.jpg,30,No,121,113,8
page10_angle_-30_aug1.jpg,30,Yes,121,114,7
page10_angle_-30_aug3.jpg,30,Yes,121,115,6
page10_angle_30.jpg,30,No,121,113,8
page10_angle_30_aug1.jpg,30,Yes,121,113,8
page11_angle_-30.jpg,30,No,124,119,5
page11_angle_-30_aug2.jpg,30,Yes,124,120,4
page11_angle_-30_aug3.jpg,30,Yes,124,120,4
page11_angle_30.jpg,30,No,124,120,4
page11_angle_30_aug1.jpg,30,Yes,124,120,4
page11_angle_30_aug2.jpg,30,Yes,124,120,4
page11_angle_30_aug3.jpg,30,Yes,124,119,5
page1_angle_-30.jpg,30,No,124,129,5
page1_angle_-30_aug1.jpg,30,Yes,124,129,5
page1_angle_30.jpg,30,No,124,127,3
page1_angle_30_aug1.jpg,30,Yes,124,129,5
page2_angle_-30.jpg,30,No,124,118,6
page2_angle_-30_aug2.jpg,30,Yes,124,129,5
page2_angle_30.jpg,30,No,124,119,5
